doc_id,doc_id_cont,txt,update_dt
996,NULL,"<br>  Float excludes holdings of insiders, such as officers and directors, and strategic 5% shareholders, such as private equity or venture capital investors.  ",50:36.4
997,NULL,"<br> Float excludes holdings of insiders, such as officers and directors, and strategic 5% shareholders, such as private equity or venture capital investors. ",50:43.0
1009,NULL,"<br> This factor is simply the sum of the number of analysts revising upward, minus the number of analysts revising downwards in the past 4 weeks. An up/down revision could be in the Current Quarter, Current Year, Next Quarter, or Next Year. <br><br> This factor is proportional to the number of analysts, therefore it might be more meaningful to divide it by the number of analysts to normalize the value across different analysts coverage. For this purpose, use this term: <br><br> #AnalystsCurQ+#AnalystsCurFY+#AnalystsNextQ+#AnalystsNextFY <br><br>",12:58.2
1010,NULL,"<br> This factor is simply the sum of the number of analysts revising upward , minus the number of analysts revising downwards in the past week. An up/down revision could be in the Current Quarter, Current Year, Next Quarter, or Next Year. <br><br> This factor is proportional to the number of analysts, and therefore it might be more meaningful to divide it by the number of analysts to normalize the value across different analysts coverage. For this purpose, use this term: <br><br> #AnalystsCurQ+#AnalystsCurFY+#AnalystsNextQ+#AnalystsNextFY <br><br>",14:18.9
1086,NULL,<br>This value is calculated by first determining the annual EBITD Margins for the 5 most recent fiscal years and then averaging the values.  <br>  ,36:44.9
1090,NULL,<br>This value is calculated by first determining the Gross Margin for each of the 5 most recent fiscal years and then averaging the values.  <br>  <br>Gross Margin is Total Revenue minus Cost of Goods Sold divided by Total Revenue and is expressed as a percentage.  <br> ,41:04.2
1109,NULL,"<br>The P/E Ratio for each of the past 60 months is calculated using the month end Price divided by the trailing twelve month Earnings Per Share (EPS) Excluding Extraordinary Items ending at least 1 month earlier than the pricing date.  The lowest of these 60 P/E values is the 5 Year Low Price Earnings Ratio.  <br>  <br>NOTE: If a trailing twelve month EPS value is less than or equal to zero, the corresponding month's P/E ratios are assigned an NA value.  If there are less than 40 positive P/E values, then the 5 Year Low P/E is assigned an NA.                                                               <br>  ",03:47.0
1110,NULL,"<br>The P/E Ratio for each of the past 60 months is calculated using the month end Price divided by the trailing twelve month Earnings Per Share (EPS) Excluding Extraordinary Items ending at least 1 month earlier than the pricing date.  The highest of these 60 P/E values is the 5 Year High Price Earnings Ratio.  <br>  <br>NOTE: If a trailing twelve month EPS value is less than or equal to zero, the corresponding month's P/E ratios are assigned an NA value.  If there are less than 40 positive P/E values, then the 5 Year High P/E is assigned an NA.                                                               <br>  ",04:09.3
1124,NULL,"<p><br /> This is the average value of all analysts&#39; opinions for a company. It is calculated by totaling all the opinion ratings and dividing by the total number of analysts offering opinions.</p>  <p><strong>Scale</strong><br /> FactSet uses a scale 1 (strong buy), 1.5 (buy), 2 (hold), 2.5 (underperform), and 3 (sell).<br /> CapitalIQ uses a scale of 1 (strong buy), 2 (buy), 3 (hold), 4 (underperform), and 5 (sell).</p>",31:03.8
1129,NULL,"<br>This is the number of analysts that revised their current fiscal year estimates downward as of last week.  <br><br>  A revision looks at the value today and the value one week ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",38:05.5
1130,NULL,"<br>This is the number of analysts that revised their current fiscal year estimates downward as of 4 weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",38:28.2
1131,NULL,"<br>This is the number of analysts that revised their current fiscal year estimates upward as of 4 weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",40:51.9
1132,NULL,"<br>This is the number of analysts that revised their current fiscal year estimates upward as of last week.  <br><br>  A revision looks at the value today and the value one week ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",41:23.7
1133,NULL,"<br>This is the number of analyst earnings estimates that have been revised downward for the current fiscal quarter as of 4 weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",42:52.1
1134,NULL,"<br>This is the number of analyst earnings estimates that have been revised downward for the current fiscal quarter as of last week.  <br><br>  A revision looks at the value today and the value one week ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",43:13.9
1135,NULL,"<br>This is the number of analysts that revised their current fiscal quarter estimates upward as of four weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",46:49.4
1136,NULL,"<br>This is the number of analysts that revised their current fiscal quarter estimates upward as of last week.  <br><br>  A revision looks at the value today and the value one week ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",47:32.0
1142,NULL,"<br>This is the number of analysts that revised their next fiscal year estimates downward, as of four weeks ago.  <br><br>  A revision looks at the value today and the value four weeks ago and counts the number of analysts that have changed their revisions. An analyst may have changed his revision multiple times, however it is counted only once.",23:32.3
